epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.341,1.8124,3.85589,1.091,0.00933,0.11184,0.03799,0.01969,1.5099,3.59845,0.97255,5.001e-05,5.001e-05,5.001e-05
2,51.2417,1.67407,3.48802,1.02331,0.03409,0.47368,0.11478,0.05421,1.3891,3.55619,0.92971,0.00011438,0.00011438,0.00011438
3,75.831,1.76404,2.4786,1.05295,0.03191,0.49342,0.14358,0.0621,1.52186,3.43714,0.95941,0.000176109,0.000176109,0.000176109
4,102.825,1.62062,1.40485,0.98969,0.03117,0.47368,0.26949,0.14238,1.38042,3.03515,0.9291,0.000235197,0.000235197,0.000235197
5,130.534,1.56234,1.23251,1.00574,0.03103,0.47368,0.36099,0.18998,1.45041,2.89805,0.94499,0.000291645,0.000291645,0.000291645
6,154.672,1.49838,1.15194,0.97962,0.03076,0.47368,0.40284,0.22771,1.42258,2.76305,0.94535,0.000345452,0.000345452,0.000345452
7,179.456,1.55641,1.09654,0.99479,0.03094,0.49342,0.38778,0.21441,1.4529,2.75724,0.94113,0.000396619,0.000396619,0.000396619
8,202.501,1.49333,1.08358,0.9764,0.02982,0.47039,0.37052,0.20981,1.48088,2.75516,0.96111,0.000445146,0.000445146,0.000445146
9,225.098,1.44072,1.05764,1.00266,0.03132,0.47697,0.40211,0.22207,1.49795,2.67513,0.96533,0.000491032,0.000491032,0.000491032
10,249.194,1.47346,0.96919,0.9811,0.03273,0.49013,0.39805,0.21842,1.5569,2.59597,0.98487,0.000534277,0.000534277,0.000534277
11,272.932,1.45009,0.95557,0.98388,0.03329,0.49671,0.44644,0.24479,1.46206,2.54016,0.96818,0.000574882,0.000574882,0.000574882
12,300.06,1.49672,0.96484,0.96923,0.90297,0.31908,0.34796,0.15857,1.69213,2.67638,1.01815,0.000612846,0.000612846,0.000612846
13,325.35,1.53415,0.95918,0.98748,0.98373,0.19565,0.38662,0.18083,1.54853,2.67913,0.98425,0.00064817,0.00064817,0.00064817
14,347.921,1.45867,0.97928,1.02433,0.97253,0.33948,0.42248,0.22964,1.45394,2.58017,0.96869,0.000680853,0.000680853,0.000680853
15,370.026,1.44459,0.93303,0.96756,1,0.17108,0.46129,0.25725,1.47972,2.45327,0.96695,0.000710895,0.000710895,0.000710895
16,392.288,1.4195,0.9084,0.9727,1,0.08257,0.46012,0.25063,1.49383,2.40701,0.97335,0.000738298,0.000738298,0.000738298
17,414.477,1.39691,0.89076,0.96366,1,0.08968,0.45874,0.25165,1.46606,2.35051,0.9737,0.000763059,0.000763059,0.000763059
18,438.024,1.37363,0.87349,0.96102,1,0.10456,0.46855,0.25488,1.48503,2.17545,0.98929,0.00078518,0.00078518,0.00078518
19,460.361,1.40384,0.85138,0.94908,0.99197,0.20164,0.47791,0.26525,1.48229,2.00558,0.98491,0.000804661,0.000804661,0.000804661
20,482.846,1.39473,0.8476,0.99112,0.99081,0.35151,0.48303,0.2832,1.40511,1.816,0.98091,0.000821501,0.000821501,0.000821501
21,505.119,1.36801,0.83626,0.97806,0.9818,0.43092,0.5511,0.294,1.43174,1.64149,0.9919,0.0008357,0.0008357,0.0008357
22,527.544,1.35559,0.85603,0.9666,0.98385,0.45066,0.63839,0.31399,1.41136,1.56986,0.98112,0.000847259,0.000847259,0.000847259
23,549.719,1.36865,0.81502,0.95412,0.96621,0.45393,0.68878,0.32418,1.39634,1.52063,0.96793,0.000856178,0.000856178,0.000856178
24,573.837,1.3042,0.79638,0.95306,0.95712,0.46053,0.70286,0.33997,1.39133,1.41323,0.96722,0.000862456,0.000862456,0.000862456
25,598.781,1.40378,0.85257,0.9481,0.96437,0.47157,0.70828,0.35533,1.43267,1.34462,0.98493,0.000866093,0.000866093,0.000866093
26,622.481,1.36921,0.85364,0.97039,0.9504,0.56393,0.70522,0.35792,1.45022,1.23921,0.99481,0.000841835,0.000841835,0.000841835
27,647.519,1.27351,0.78562,0.94151,0.94399,0.61474,0.70994,0.3401,1.43098,1.09081,0.99626,0.000808828,0.000808828,0.000808828
28,671.949,1.36001,0.83619,0.98172,0.93068,0.66331,0.71285,0.34692,1.40543,1.01691,0.99586,0.000775822,0.000775822,0.000775822
29,694.173,1.36067,0.77835,0.95557,0.91577,0.69853,0.71522,0.35535,1.42712,0.98946,1.00352,0.000742815,0.000742815,0.000742815
30,716.308,1.31196,0.79976,0.95913,0.94193,0.71564,0.71797,0.37229,1.40807,0.97975,0.99062,0.000709809,0.000709809,0.000709809
31,738.547,1.29785,0.78685,0.96914,0.95396,0.7038,0.71252,0.39714,1.39813,0.99303,0.97648,0.000676802,0.000676802,0.000676802
32,761.447,1.29295,0.7817,0.94507,0.95863,0.69452,0.71938,0.41244,1.39096,0.94989,0.96925,0.000643795,0.000643795,0.000643795
33,784.471,1.27027,0.77691,0.96056,0.97342,0.6992,0.73197,0.41757,1.38092,0.90265,0.97054,0.000610789,0.000610789,0.000610789
34,808.989,1.30482,0.75612,0.93066,0.96908,0.70181,0.73585,0.40649,1.40469,0.8722,0.97917,0.000577782,0.000577782,0.000577782
35,834.012,1.30054,0.76158,0.93242,0.96671,0.69573,0.73282,0.40396,1.401,0.81149,0.97693,0.000544776,0.000544776,0.000544776
36,857.619,1.29536,0.74712,0.94093,0.9661,0.70491,0.73266,0.39718,1.38537,0.77043,0.96872,0.000511769,0.000511769,0.000511769
37,882.189,1.32023,0.75161,0.95889,0.97075,0.70665,0.7331,0.39655,1.34007,0.75037,0.95929,0.000478762,0.000478762,0.000478762
38,905.929,1.28236,0.71681,0.92611,0.97421,0.70417,0.73561,0.40064,1.32725,0.73187,0.95984,0.000445756,0.000445756,0.000445756
39,930.641,1.27634,0.73006,0.92769,0.97427,0.70663,0.73613,0.4053,1.33788,0.72758,0.9637,0.000412749,0.000412749,0.000412749
40,952.863,1.33316,0.7393,0.95685,0.97782,0.71315,0.74616,0.40808,1.37341,0.73445,0.97443,0.000379743,0.000379743,0.000379743
41,974.593,1.25132,0.86907,0.95579,0.97762,0.70852,0.74357,0.4094,1.38599,0.75212,0.97928,0.000346736,0.000346736,0.000346736
42,996.204,1.22522,0.81914,0.93901,0.96204,0.70249,0.7419,0.40588,1.37373,0.78806,0.9768,0.000313729,0.000313729,0.000313729
43,1017.73,1.28369,0.80867,0.94319,0.94883,0.70249,0.74678,0.40211,1.3589,0.82678,0.97431,0.000280723,0.000280723,0.000280723
44,1039.17,1.25994,0.79281,0.95237,0.94318,0.70236,0.75352,0.41133,1.35208,0.822,0.97182,0.000247716,0.000247716,0.000247716
45,1060.62,1.26506,0.81677,0.94383,0.9482,0.69871,0.7446,0.41034,1.35913,0.79113,0.97404,0.00021471,0.00021471,0.00021471
46,1082.68,1.27794,0.79028,0.916,0.95977,0.6985,0.74404,0.41255,1.36692,0.75581,0.9752,0.000181703,0.000181703,0.000181703
47,1104.77,1.24914,0.76747,0.92645,0.96564,0.69844,0.74389,0.40856,1.36366,0.73334,0.97168,0.000148696,0.000148696,0.000148696
48,1126.27,1.22114,0.72849,0.94073,0.96869,0.69874,0.74391,0.40943,1.35835,0.7202,0.96933,0.00011569,0.00011569,0.00011569
49,1147.81,1.23359,0.74286,0.93505,0.97045,0.69835,0.74393,0.41187,1.35417,0.71269,0.96791,8.26832e-05,8.26832e-05,8.26832e-05
50,1169.94,1.22616,0.74732,0.93129,0.97522,0.69762,0.74781,0.40722,1.35367,0.70968,0.96785,4.96766e-05,4.96766e-05,4.96766e-05
